연도,성별,지역,학교유형,세부유형,설립유형,학년,학생(명),학급(개),학교(개),교직원(명)
2012,남녀,대전광역시,초등학교,전체,전체,전체,98665,3986,143,5889
2012,남녀,부산광역시,초등학교,전체,전체,전체,172069,7250,299,10709
2012,남녀,서울특별시,초등학교,전체,전체,전체,502000,19648,594,29762
2012,남녀,울산광역시,초등학교,전체,전체,전체,71544,2869,119,4316
2012,남녀,인천광역시,초등학교,전체,전체,전체,164928,6740,236,9633
2012,남녀,전라남도,초등학교,전체,전체,전체,107133,5424,427,8179
2012,남녀,전라북도,초등학교,전체,전체,전체,112640,5284,413,8040
2012,남녀,제주특별자치도,초등학교,전체,전체,전체,40172,1675,110,2522
2012,남녀,충청남도,초등학교,전체,전체,전체,127260,5867,427,8877
2012,남녀,충청북도,초등학교,전체,전체,전체,94507,4244,259,6384
2011,남녀,전국,초등학교,전체,전체,전체,3132477,122866,5882,180623
2011,남녀,강원도,초등학교,전체,전체,전체,94442,4424,353,6629
2011,남녀,경기도,초등학교,전체,전체,전체,814927,28530,1159,41619
2011,남녀,경상남도,초등학교,전체,전체,전체,215383,8817,495,13167
2011,남녀,경상북도,초등학교,전체,전체,전체,155146,6964,491,10482
2011,남녀,광주광역시,초등학교,전체,전체,전체,109760,4120,147,5851
2011,남녀,대구광역시,초등학교,전체,전체,전체,157693,6013,216,8844
2011,남녀,대전광역시,초등학교,전체,전체,전체,103852,3943,141,5742
2011,남녀,부산광역시,초등학교,전체,전체,전체,184983,7458,297,10821
2011,남녀,서울특별시,초등학교,전체,전체,전체,535948,19993,591,29639
2011,남녀,울산광역시,초등학교,전체,전체,전체,76596,2911,119,4342
2011,남녀,인천광역시,초등학교,전체,전체,전체,173598,6861,232,9649
2011,남녀,전라남도,초등학교,전체,전체,전체,115550,5624,429,8269
2011,남녀,전라북도,초등학교,전체,전체,전체,119592,5370,414,8053
2011,남녀,제주특별자치도,초등학교,전체,전체,전체,42143,1679,108,2446
2011,남녀,충청남도,초등학교,전체,전체,전체,132962,5862,430,8774
2011,남녀,충청북도,초등학교,전체,전체,전체,99902,4297,260,6296
